seq,tx,rx,latency
3228516,1764177707181991789,1764177707175349918,-6641871
440825,1764177707183030727,1764177707176388810,-6641917
3228517,1764177707183051726,1764177707176409329,-6642397
440826,1764177707184091368,1764177707177449240,-6642128
3228518,1764177707184111646,1764177707177469351,-6642295
440827,1764177707185150824,1764177707178508965,-6641859
3228519,1764177707185171546,1764177707178530058,-6641488
440828,1764177707186210391,1764177707179568505,-6641886
3228520,1764177707186231373,1764177707179589505,-6641868
440829,1764177707187271033,1764177707180629064,-6641969
3228521,1764177707187291384,1764177707180649101,-6642283
440830,1764177707188330544,1764177707181689104,-6641440
3228522,1764177707188351229,1764177707181708975,-6642254
440831,1764177707189390019,1764177707182747885,-6642134
3228523,1764177707189411074,1764177707182771644,-6639430
440832,1764177707190449475,1764177707183809092,-6640383
3228524,1764177707190470808,1764177707183829277,-6641531
440833,1764177707191510024,1764177707184868040,-6641984
3228525,1764177707191530802,1764177707184888780,-6642022
440834,1764177707192569832,1764177707185928172,-6641660
3228526,1764177707192590591,1764177707185948413,-6642178
440835,1764177707193629547,1764177707186987750,-6641797
3228527,1764177707193650455,1764177707187008194,-6642261
440836,1764177707194689059,1764177707188046808,-6642251
3228528,1764177707194710207,1764177707188068679,-6641528
440837,1764177707195749682,1764177707189107682,-6642000
3228529,1764177707195770200,1764177707189127960,-6642240
440838,1764177707196809138,1764177707190166778,-6642360
3228530,1764177707196829934,1764177707190187537,-6642397
440839,1764177707197868594,1764177707191226596,-6641998
3228531,1764177707197889853,1764177707191249059,-6640794
440840,1764177707198928106,1764177707192286580,-6641526
3228532,1764177707198949717,1764177707192308618,-6641099
440841,1764177707199988766,1764177707193346991,-6641775
3228533,1764177707200009543,1764177707193367287,-6642256
440842,1764177707201048389,1764177707194406198,-6642191
3228534,1764177707201069277,1764177707194426939,-6642338
440843,1764177707202107882,1764177707195466423,-6641459
3228535,1764177707202128956,1764177707195486683,-6642273
440844,1764177707203167319,1764177707196536130,-6631189
3228536,1764177707203189227,1764177707196549038,-6640189
440845,1764177707204227516,1764177707197585893,-6641623
3228537,1764177707204249331,1764177707197607152,-6642179
440846,1764177707205287065,1764177707198645174,-6641891
3228538,1764177707205309046,1764177707198667118,-6641928
440847,1764177707206346540,1764177707199705121,-6641419
3228539,1764177707206368910,1764177707199727621,-6641289
440848,1764177707207407051,1764177707200765550,-6641501
3228540,1764177707207428885,1764177707200786754,-6642131
440849,1764177707208466619,1764177707201824665,-6641954
3228541,1764177707208488730,1764177707201847257,-6641473
440850,1764177707209525945,1764177707202883760,-6642185
3228542,1764177707209548408,1764177707202906112,-6642296
440851,1764177707210588309,1764177707203947356,-6640953
3228543,1764177707210609179,1764177707203967560,-6641619
440852,1764177707211650524,1764177707205009322,-6641202
3228544,1764177707211669339,1764177707205027304,-6642035
440853,1764177707212710517,1764177707206068474,-6642043
3228545,1764177707212729536,1764177707206088307,-6641229
440854,1764177707213770233,1764177707207128458,-6641775
3228546,1764177707213789473,1764177707207147162,-6642311
440855,1764177707214829911,1764177707208188036,-6641875
3228547,1764177707214849670,1764177707208207424,-6642246
440856,1764177707215890589,1764177707209249502,-6641087
3228548,1764177707215909849,1764177707209267854,-6641995
440857,1764177707216950305,1764177707210308097,-6642208
3228549,1764177707216969934,1764177707210327801,-6642133
440858,1764177707218009946,1764177707211367712,-6642234
3228550,1764177707218029872,1764177707211387786,-6642086
440859,1764177707219069569,1764177707212427363,-6642206
3228551,1764177707219089698,1764177707212447437,-6642261
440860,1764177707220130321,1764177707213489163,-6641158
3228552,1764177707220149858,1764177707213508033,-6641825
440861,1764177707221190018,1764177707214547906,-6642112
3228553,1764177707221210074,1764177707214567703,-6642371
440862,1764177707222249623,1764177707215612428,-6637195
3228554,1764177707222269474,1764177707215629650,-6639824
440863,1764177707223310134,1764177707216669005,-6641129
3228555,1764177707223329671,1764177707216687783,-6641888
440864,1764177707224370016,1764177707217728472,-6641544
3228556,1764177707224389868,1764177707217747712,-6642156
440865,1764177707225429676,1764177707218788141,-6641535
3228557,1764177707225449972,1764177707218808012,-6641960
440866,1764177707226488780,1764177707219846830,-6641950
3228558,1764177707226509891,1764177707219868497,-6641394
440867,1764177707227549496,1764177707220908018,-6641478
3228559,1764177707227569959,1764177707220928148,-6641811
440868,1764177707228609063,1764177707221967114,-6641949
3228560,1764177707228629767,1764177707221987373,-6642394
440869,1764177707229668630,1764177707223028080,-6640550
3228561,1764177707229689649,1764177707223047654,-6641995
440870,1764177707230728216,1764177707224085935,-6642281
3228562,1764177707230749512,1764177707224107176,-6642336
440871,1764177707231787783,1764177707225146142,-6641641
3228563,1764177707231809506,1764177707225167346,-6642160
440872,1764177707232847369,1764177707226205053,-6642316
3228564,1764177707232869295,1764177707226227164,-6642131
440873,1764177707233906862,1764177707227268908,-6637954
3228565,1764177707233929122,1764177707227290908,-6638214
440874,1764177707234966374,1764177707228324374,-6642000
3228566,1764177707234988874,1764177707228347078,-6641796
440875,1764177707236027127,1764177707229385470,-6641657
3228567,1764177707236048793,1764177707229407414,-6641379
440876,1764177707237086712,1764177707230445528,-6641184
3228568,1764177707237108583,1764177707230466769,-6641814
440877,1764177707238146280,1764177707231504309,-6641971
3228569,1764177707238168391,1764177707231526420,-6641971
440878,1764177707239206902,1764177707232564849,-6642053
3228570,1764177707239228347,1764177707232586183,-6642164
440879,1764177707240266507,1764177707233624186,-6642321
3228571,1764177707240288266,1764177707233646871,-6641395
440880,1764177707241325944,1764177707234684078,-6641866
3228572,1764177707241348018,1764177707234705708,-6642310
440881,1764177707242385400,1764177707235745248,-6640152
3228573,1764177707242407697,1764177707235765359,-6642338
440882,1764177707243445949,1764177707236804696,-6641253
3228574,1764177707243467468,1764177707236825233,-6642235
440883,1764177707244505553,1764177707237863514,-6642039
3228575,1764177707244527294,1764177707237885106,-6642188
440884,1764177707245565028,1764177707238925072,-6639956
3228576,1764177707245587158,1764177707238945258,-6641900
440885,1764177707246624503,1764177707239982224,-6642279
3228577,1764177707246646984,1764177707240004761,-6642223
440886,1764177707247685144,1764177707241044023,-6641121
3228578,1764177707247706959,1764177707241064968,-6641991
440887,1764177707248744748,1764177707242102711,-6642037
3228579,1764177707248766822,1764177707242124693,-6642129
440888,1764177707249804149,1764177707243162437,-6641712
3228580,1764177707249826649,1764177707243185233,-6641416
440889,1764177707250863642,1764177707244222570,-6641072
3228581,1764177707250886401,1764177707244244255,-6642146
440890,1764177707251924191,1764177707245282314,-6641877
3228582,1764177707251946339,1764177707245304314,-6642025
440891,1764177707252983795,1764177707246341817,-6641978
3228583,1764177707253006110,1764177707246364039,-6642071
440892,1764177707254043251,1764177707247401579,-6641672
3228584,1764177707254065936,1764177707247424839,-6641097
440893,1764177707255102819,1764177707248460916,-6641903
3228585,1764177707255125763,1764177707248483508,-6642255
440894,1764177707256163479,1764177707249522826,-6640653
3228586,1764177707256185682,1764177707249543752,-6641930
440895,1764177707257223175,1764177707250582052,-6641123
3228587,1764177707257245564,1764177707250603589,-6641975
440896,1764177707258282743,1764177707251640851,-6641892
3228588,1764177707258305520,1764177707251663370,-6642150
440897,1764177707259343217,1764177707252701780,-6641437
3228589,1764177707259365365,1764177707252723651,-6641714
440898,1764177707260405766,1764177707253764913,-6640853
3228590,1764177707260425636,1764177707253783598,-6642038
440899,1764177707261466778,1764177707254825861,-6640917
3228591,1764177707261486148,1764177707254844305,-6641843
440900,1764177707262526678,1764177707255884975,-6641703
3228592,1764177707262546289,1764177707255904105,-6642184
440901,1764177707263587857,1764177707256946219,-6641638
3228593,1764177707263606245,1764177707256964941,-6641304
440902,1764177707264647665,1764177707258005778,-6641887
3228594,1764177707264666887,1764177707258024852,-6642035
440903,1764177707265707176,1764177707259065114,-6642062
3228595,1764177707265727010,1764177707259085151,-6641859
440904,1764177707266766929,1764177707260124766,-6642163
3228596,1764177707266786947,1764177707260144858,-6642089
440905,1764177707267828015,1764177707261186806,-6641209
3228597,1764177707267847496,1764177707261206195,-6641301
440906,1764177707268887712,1764177707262245883,-6641829
3228598,1764177707268907822,1764177707262265846,-6641976
440907,1764177707269947353,1764177707263305405,-6641948
3228599,1764177707269967668,1764177707263325997,-6641671
440908,1764177707271006976,1764177707264365463,-6641513
3228600,1764177707271027587,1764177707264384926,-6642661
440909,1764177707272067950,1764177707265425633,-6642317
3228601,1764177707272087746,1764177707265445541,-6642205
440910,1764177707273127721,1764177707266489544,-6638177
3228602,1764177707273147166,1764177707266506396,-6640770
440911,1764177707274187289,1764177707267545992,-6641297
3228603,1764177707274207011,1764177707267565066,-6641945
440912,1764177707275248300,1764177707268607828,-6640472
3228604,1764177707275267059,1764177707268625291,-6641768
440913,1764177707276308034,1764177707269665979,-6642055
3228605,1764177707276327256,1764177707269685387,-6641869
440914,1764177707277367175,1764177707270725427,-6641748
3228606,1764177707277387361,1764177707270746723,-6640638
440915,1764177707278426983,1764177707271784930,-6642053
3228607,1764177707278447298,1764177707271805171,-6642127
440916,1764177707279487995,1764177707272846063,-6641932
3228608,1764177707279507458,1764177707272865600,-6641858
440917,1764177707280547729,1764177707273905844,-6641885
3228609,1764177707280567581,1764177707273925751,-6641830
440918,1764177707281607426,1764177707274965292,-6642134
3228610,1764177707281627500,1764177707274986014,-6641486
440919,1764177707282667123,1764177707276027295,-6639828
3228611,1764177707282687438,1764177707276045184,-6642254
440920,1764177707283728061,1764177707277086094,-6641967
3228612,1764177707283747709,1764177707277105928,-6641781
440921,1764177707284787794,1764177707278146505,-6641289
3228613,1764177707284807868,1764177707278165820,-6642048
440922,1764177707285847510,1764177707279205564,-6641946
3228614,1764177707285867806,1764177707279226415,-6641391
440923,1764177707286907262,1764177707280265252,-6642010
3228615,1764177707286927781,1764177707280285845,-6641936
440924,1764177707287968200,1764177707281326607,-6641593
3228616,1764177707287988015,1764177707281345959,-6642056
440925,1764177707289028045,1764177707282387240,-6640805
3228617,1764177707289048267,1764177707282406499,-6641768
440926,1764177707290087760,1764177707283446076,-6641684
3228618,1764177707290108205,1764177707283465817,-6642388
440927,1764177707291147494,1764177707284505468,-6642026
3228619,1764177707291168050,1764177707284536728,-6631322
440928,1764177707292207432,1764177707285565342,-6642090
3228620,1764177707292227080,1764177707285585231,-6641849
440929,1764177707293265833,1764177707286623660,-6642173
3228621,1764177707293287018,1764177707286645197,-6641821
440930,1764177707294324103,1764177707287681663,-6642440
3228622,1764177707294346863,1764177707287704848,-6642015
440931,1764177707295383837,1764177707288742351,-6641486
3228623,1764177707295406856,1764177707288765648,-6641208
440932,1764177707296443590,1764177707289801836,-6641754
3228624,1764177707296466682,1764177707289824744,-6641938
440933,1764177707297503139,1764177707290861247,-6641892
3228625,1764177707297526509,1764177707290884469,-6642040
440934,1764177707298562706,1764177707291922102,-6640604
3228626,1764177707298586298,1764177707291944343,-6641955
440935,1764177707299623440,1764177707292981716,-6641724
3228627,1764177707299646162,1764177707293003994,-6642168
440936,1764177707300683192,1764177707294041571,-6641621
3228628,1764177707300705840,1764177707294063627,-6642213
440937,1764177707301742778,1764177707295101093,-6641685
3228629,1764177707301765648,1764177707295124093,-6641555
440938,1764177707302802382,1764177707296161355,-6641027
3228630,1764177707302825438,1764177707296183596,-6641842
440939,1764177707303862950,1764177707297221507,-6641443
3228631,1764177707303885320,1764177707297243266,-6642054
440940,1764177707304922535,1764177707298281047,-6641488
3228632,1764177707304945202,1764177707298304065,-6641137
440941,1764177707305982010,1764177707299340198,-6641812
3228633,1764177707306005065,1764177707299363439,-6641626
440942,1764177707307041466,1764177707300399886,-6641580
3228634,1764177707307064836,1764177707300423183,-6641653
440943,1764177707308102015,1764177707301460038,-6641977
3228635,1764177707308124755,1764177707301482853,-6641902
440944,1764177707309161508,1764177707302519393,-6642115
3228636,1764177707309184656,1764177707302543411,-6641245
440945,1764177707310223890,1764177707303583359,-6640531
3228637,1764177707310244705,1764177707303602526,-6642179
440946,1764177707311285939,1764177707304644251,-6641688
3228638,1764177707311304679,1764177707304662621,-6642058
440947,1764177707312346117,1764177707305705013,-6641104
3228639,1764177707312364691,1764177707305722791,-6641900
440948,1764177707313405925,1764177707306764350,-6641575
3228640,1764177707313424925,1764177707306782776,-6642149
440949,1764177707314465585,1764177707307823705,-6641880
3228641,1764177707314485048,1764177707307843020,-6642028
440950,1764177707315526282,1764177707308884745,-6641537
3228642,1764177707315545560,1764177707308903653,-6641907
440951,1764177707316586016,1764177707309945137,-6640879
3228643,1764177707316605775,1764177707309964304,-6641471
440952,1764177707317645602,1764177707311003974,-6641628
3228644,1764177707317665805,1764177707311024104,-6641701
440953,1764177707318704947,1764177707312063107,-6641840
3228645,1764177707318725761,1764177707312084662,-6641099
440954,1764177707319765588,1764177707313123721,-6641867
3228646,1764177707319785829,1764177707313143851,-6641978
440955,1764177707320825452,1764177707314183502,-6641950
3228647,1764177707320845729,1764177707314203743,-6641986
440956,1764177707321885074,1764177707315242987,-6642087
3228648,1764177707321905630,1764177707315263209,-6642421
440957,1764177707322944623,1764177707316307434,-6637189
3228649,1764177707322965512,1764177707316325545,-6639967
440958,1764177707324005413,1764177707317363956,-6641457
3228650,1764177707324024968,1764177707317383400,-6641568
440959,1764177707325064980,1764177707318423274,-6641706
3228651,1764177707325085035,1764177707318443422,-6641613
440960,1764177707326124584,1764177707319484018,-6640566
3228652,1764177707326145066,1764177707319503536,-6641530
440961,1764177707327185225,1764177707320543299,-6641926
3228653,1764177707327205429,1764177707320563354,-6642075
440962,1764177707328244478,1764177707321602561,-6641917
3228654,1764177707328265533,1764177707321623413,-6642120
440963,1764177707329304193,1764177707322662638,-6641555
3228655,1764177707329325471,1764177707322683250,-6642221
440964,1764177707330363742,1764177707323722382,-6641360
3228656,1764177707330385223,1764177707323743382,-6641841
440965,1764177707331424346,1764177707324782386,-6641960
3228657,1764177707331445068,1764177707324802775,-6642293
440966,1764177707332483951,1764177707325841963,-6641988
3228658,1764177707332504932,1764177707325863833,-6641099
440967,1764177707333543425,1764177707326901577,-6641848
3228659,1764177707333564907,1764177707326923985,-6640922
440968,1764177707334602919,1764177707327961414,-6641505
3228660,1764177707334624770,1764177707327983080,-6641690
440969,1764177707335663560,1764177707329021824,-6641736
3228661,1764177707335684708,1764177707329042695,-6642013
440970,1764177707336723201,1764177707330081309,-6641892
3228662,1764177707336744534,1764177707330102920,-6641614
440971,1764177707337782750,1764177707331141201,-6641549
3228663,1764177707337804435,1764177707331162497,-6641938
440972,1764177707338842113,1764177707332200815,-6641298
3228664,1764177707338864058,1764177707332222019,-6642039
440973,1764177707339902847,1764177707333262041,-6640806
3228665,1764177707339924032,1764177707333281911,-6642121
440974,1764177707340962396,1764177707334320525,-6641871
3228666,1764177707340983859,1764177707334341711,-6642148
440975,1764177707342021834,1764177707335380121,-6641713
3228667,1764177707342043704,1764177707335401769,-6641935
440976,1764177707343081271,1764177707336439291,-6641980
3228668,1764177707343103493,1764177707336461180,-6642313
440977,1764177707344141802,1764177707337501053,-6640749
3228669,1764177707344163339,1764177707337521739,-6641600
440978,1764177707345201554,1764177707338560038,-6641516
3228670,1764177707345223276,1764177707338581149,-6642127
440979,1764177707346261066,1764177707339618986,-6642080
3228671,1764177707346283195,1764177707339641708,-6641487
440980,1764177707347321485,1764177707340679452,-6642033
3228672,1764177707347343133,1764177707340701063,-6642070
440981,1764177707348381015,1764177707341738936,-6642079
3228673,1764177707348403052,1764177707341761085,-6641967
440982,1764177707349440508,1764177707342798792,-6641716
3228674,1764177707349462823,1764177707342820884,-6641939
440983,1764177707350500001,1764177707343857998,-6642003
3228675,1764177707350522631,1764177707343882461,-6640170
440984,1764177707351560661,1764177707344919076,-6641585
